date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,38427,0,0,0,0,0,0,79.62,-0.05,0,0,13.42,9.75,13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,62.688,0,none,14.06
05/15/2011,38427,1,0,0,0,0,0,81.2,-0.05,0,0,12.8,9.46,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.07,0,none,14.06
05/15/2011,38427,2,0,0,0,0,0,82.73,-0.05,0,0,12.4,9.18,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.853,0,none,14.06
05/15/2011,38427,3,0,0,0,0,0,84.22,-0.05,0,0,12.07,8.92,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.724,0,none,14.06
05/15/2011,38427,4,0,0,0,0,0,85.67,-0.05,0,0.02,11.77,8.66,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.629,0,none,14.06
05/15/2011,38427,5,0,0,0,0,0,85.3,-0.05,0,23.99,11.51,8.73,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.55,0,none,14.06
05/15/2011,38427,6,0,0,0,0,0,78.36,-0.05,0,68.04,11.34,9.99,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.465,0,none,14.06
05/15/2011,38427,7,0,0,0,0,0,67.56,-0.05,0,108.7,11.84,12.22,11.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.004,0,none,14.06
05/15/2011,38427,8,0,0,0,0,0,56.42,-0.05,0,143.96,12.78,14.99,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,60.232,0,none,14.06
05/15/2011,38427,9,0,0,0,0,0,47.33,-0.05,0,172.06,13.99,17.75,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,59.201,0,none,14.06
